,D2002,D2003,D2004,D2005,D2006,D2007,D2008,D2009,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017,D2018,D2019,D2020,D2021,D2022,D2023,D2024,D2025,D2026,D2027,D2028,D2029,D2030,D2031,age,voted
0,1,4,4,2,2,9,9,9,1,422,1,2,3,99,999,9,9,9,3,3,0,99,9,9,8300,121,8,999,999,4,31,True
1,2,3,1,2,2,9,9,9,8,999,9,9,9,1,931,2,2,2,1,5,3,99,6,9,1101,121,12,999,999,4,42,True
2,2,2,1,2,2,9,9,9,7,818,2,2,2,8,999,9,9,9,9,3,0,99,5,9,1101,121,2,999,999,4,67,True
4,2,4,4,2,2,9,9,9,5,513,1,2,3,99,999,9,9,9,9,7,2,99,9,9,8300,121,2,999,999,4,26,False
5,1,6,4,1,1,9,9,9,1,235,1,1,3,99,999,9,9,9,5,2,0,99,1,9,1101,121,2,999,999,4,55,True
6,2,4,1,2,2,9,9,9,1,818,2,2,2,1,818,2,2,2,2,6,3,99,2,9,1101,121,2,999,999,4,43,True
7,2,3,1,2,2,9,9,9,1,911,4,2,3,1,752,4,2,2,9,5,3,99,9,9,8300,121,2,999,999,4,37,True
8,1,1,1,1,2,9,9,9,1,412,1,1,3,97,999,9,9,9,1,7,2,99,1,9,1101,121,2,999,999,2,66,True
9,2,2,4,2,2,9,9,9,8,522,1,9,3,99,999,9,9,9,1,7,3,99,5,9,1101,121,13,999,999,2,59,True
10,1,5,1,2,2,9,9,9,1,142,4,2,3,8,999,9,9,9,5,4,1,99,1,9,1101,121,1,999,999,4,49,True
11,2,4,4,2,8,9,9,9,6,999,9,9,9,99,999,9,9,9,9,4,0,99,2,9,1101,121,4,999,999,4,24,False
12,2,4,1,2,2,9,9,9,8,999,9,9,9,1,522,1,2,3,3,4,2,99,2,9,1101,121,8,999,999,4,31,True
13,1,4,1,2,2,9,9,9,1,931,4,2,2,1,334,1,2,3,9,4,1,99,1,9,1101,121,1,999,999,4,44,True
15,2,3,1,2,2,9,9,9,7,911,2,2,3,1,541,1,2,3,2,2,0,99,5,9,1101,121,2,999,999,4,53,True
16,2,8,4,7,2,9,9,9,1,261,4,1,3,99,999,9,9,9,9,3,1,99,3,9,1101,121,4,999,999,4,46,True
